year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt,,
2005,YR2005,Hungary,HUN,27700.518,16604.176,,
2005,YR2005,Iceland,ISL,0,1785.829,,
2005,YR2005,India,IND,50479.922,300011.938,,
2005,YR2005,Indonesia,IDN,54495.287,174897.565,,
2005,YR2005,"Iran, Islamic Rep.",IRN,200324.543,223004.938,,
2005,YR2005,Iraq,IRQ,12449.465,87377.276,,
2005,YR2005,Ireland,IRL,7946.389,22376.034,,
2005,YR2005,Isle of Man,IMN,,,,
2005,YR2005,Israel,ISR,3006.94,23560.475,,
2005,YR2005,Italy,ITA,161813.709,228945.478,,
2005,YR2005,Jamaica,JAM,0,9922.902,,
2005,YR2005,Japan,JPN,161813.709,624801.795,,
2005,YR2005,Jordan,JOR,3168.288,15874.443,,
2005,YR2005,Kazakhstan,KAZ,39907.961,28118.556,,
2005,YR2005,Kenya,KEN,0,7172.652,,
2005,YR2005,Kiribati,KIR,0,58.672,,
2005,YR2005,"Korea, Dem. People's Rep.",PRK,0,2878.595,,
2005,YR2005,"Korea, Rep.",KOR,62698.366,187479.042,,
2005,YR2005,Kosovo,XKX,,,,
2005,YR2005,Kuwait,KWT,25547.989,44924.417,,
2005,YR2005,Kyrgyz Republic,KGZ,1415.462,1371.458,,
2005,YR2005,Lao PDR,LAO,0,1103.767,,
2005,YR2005,Latvia,LVA,3109.616,3949.359,,
2005,YR2005,Lebanon,LBN,0,13410.219,,
2005,YR2005,Lesotho,LSO,0,414.371,,
2005,YR2005,Liberia,LBR,0,597.721,,
2005,YR2005,Libya,LBY,11048.671,34282.783,,
2005,YR2005,Liechtenstein,LIE,,,,
2005,YR2005,Lithuania,LTU,5672.849,7047.974,,
2005,YR2005,Luxembourg,LUX,2695.245,8140.74,,
2005,YR2005,"Macao SAR, China",MAC,0,1829.833,,
2005,YR2005,Madagascar,MDG,0,1624.481,,
2005,YR2005,Malawi,MWI,0,682.062,,
2005,YR2005,Malaysia,MYS,64132.163,69724.338,,
2005,YR2005,Maldives,MDV,0,601.388,,
2005,YR2005,Mali,MLI,0,916.75,,
2005,YR2005,Malta,MLT,0,2698.912,,
2005,YR2005,Marshall Islands,MHL,0,113.677,,
2005,YR2005,Mauritania,MRT,0,1437.464,,
2005,YR2005,Mauritius,MUS,0,2442.222,,
2005,YR2005,Mexico,MEX,105602.266,291361.485,,
2005,YR2005,"Micronesia, Fed. Sts.",FSM,0,121.011,,
2005,YR2005,Moldova,MDA,2365.215,1921.508,,
2005,YR2005,Monaco,MCO,,,,
2005,YR2005,Mongolia,MNG,0,1686.82,,
2005,YR2005,Montenegro,MNE,0,388.702,,
2005,YR2005,Morocco,MAR,869.079,25324.302,,
2005,YR2005,Mozambique,MOZ,139.346,1437.464,,
2005,YR2005,Myanmar,MMR,5460.163,5265.812,,
2005,YR2005,Namibia,NAM,0,2255.205,,
2005,YR2005,Nauru,NRU,0,62.339,,
2005,YR2005,Nepal,NPL,0,2002.182,,
2005,YR2005,Netherlands,NLD,80905.021,71689.85,,
2005,YR2005,New Caledonia,NCL,0,2097.524,,
2005,YR2005,New Zealand,NZL,7392.672,17638.27,,
2005,YR2005,Nicaragua,NIC,0,4055.702,,
2005,YR2005,Niger,NER,0,429.039,,
2005,YR2005,Nigeria,NGA,20648.877,39827.287,,
2005,YR2005,North Macedonia,MKD,143.013,2684.244,,
2005,YR2005,Northern Mariana Islands,MNP,,,,
2005,YR2005,Norway,NOR,9325.181,28386.247,,
2005,YR2005,Oman,OMN,18907.052,6875.625,,
2005,YR2005,Pakistan,PAK,63549.11,48404.4,,
2005,YR2005,Palau,PLW,0,220.02,,
2005,YR2005,Panama,PAN,0,5507.834,,
2005,YR2005,Papua New Guinea,PNG,293.36,4088.705,,
2005,YR2005,Paraguay,PRY,0,3556.99,,
2005,YR2005,Peru,PER,3347.971,20967.906,,
2005,YR2005,Philippines,PHL,6307.24,42009.152,,
2005,YR2005,Poland,POL,28019.547,57018.183,,
2005,YR2005,Portugal,PRT,8591.781,39706.276,,
2005,YR2005,Puerto Rico,PRI,,,,
2005,YR2005,Qatar,QAT,31840.561,10861.654,,
2005,YR2005,Romania,ROU,31888.232,26270.388,,
2005,YR2005,Russian Federation,RUS,800858.132,331654.481,,
2005,YR2005,Rwanda,RWA,0,476.71,,
2005,YR2005,Samoa,WSM,0,161.348,,
2005,YR2005,San Marino,SMR,,,,
2005,YR2005,Sao Tome and Principe,STP,0,77.007,,
2005,YR2005,Saudi Arabia,SAU,127358.577,256899.019,,
2005,YR2005,Senegal,SEN,25.669,4107.04,,
2005,YR2005,Serbia,SRB,,,,
2005,YR2005,Seychelles,SYC,0,689.396,,
2005,YR2005,Sierra Leone,SLE,0,462.042,,
2005,YR2005,Singapore,SGP,12757.493,17590.599,,
2005,YR2005,Sint Maarten (Dutch part),SXM,,,,
2005,YR2005,Slovak Republic,SVK,13476.225,7799.709,,
2005,YR2005,Slovenia,SVN,2126.86,7124.981,,
2005,YR2005,Solomon Islands,SLB,0,161.348,,
2005,YR2005,Somalia,SOM,0,594.054,,
2005,YR2005,South Africa,ZAF,6318.241,27854.532,,
2005,YR2005,South Sudan,SSD,,,,
2005,YR2005,Spain,ESP,68352.88,181901.535,,
2005,YR2005,Sri Lanka,LKA,0,11122.011,,
2005,YR2005,St. Kitts and Nevis,KNA,0,198.018,,
2005,YR2005,St. Lucia,LCA,0,366.7,,
2005,YR2005,St. Martin (French part),MAF,,,,
2005,YR2005,St. Vincent and the Grenadines,VCT,0,220.02,,
2005,YR2005,Sudan,SDN,0,10817.65,,
2005,YR2005,Suriname,SUR,7.334,1554.808,,
2005,YR2005,Sweden,SWE,1928.842,38378.822,,
2005,YR2005,Switzerland,CHE,6373.246,32511.622,,
2005,YR2005,Syrian Arab Republic,SYR,11323.696,35463.557,,
2005,YR2005,Tajikistan,TJK,1228.445,916.75,,
2005,YR2005,Tanzania,TZA,678.395,4059.369,,
2005,YR2005,Thailand,THA,54084.583,113291.965,,
2005,YR2005,Timor-Leste,TLS,0,176.016,,
2005,YR2005,Togo,TGO,0,938.752,,
2005,YR2005,Tonga,TON,0,113.677,,
2005,YR2005,Trinidad and Tobago,TTO,33674.061,4140.043,,
2005,YR2005,Tunisia,TUN,6714.277,12321.12,,
2005,YR2005,Turkiye,TUR,52199.745,76258.932,,
2005,YR2005,Turkmenistan,TKM,32643.634,15372.064,,
2005,YR2005,Turks and Caicos Islands,TCA,0,121.011,,
2005,YR2005,Tuvalu,TUV,0,11.001,,
2005,YR2005,Uganda,UGA,0,1855.502,,
2005,YR2005,Ukraine,UKR,149822.619,37183.38,,
2005,YR2005,United Arab Emirates,ARE,78290.45,30454.435,,
2005,YR2005,United Kingdom,GBR,195759.128,193800.95,,
2005,YR2005,United States,USA,1162996.384,2446413.381,,
2005,YR2005,Uruguay,URY,183.35,5276.813,,
2005,YR2005,Uzbekistan,UZB,95532.684,14741.34,,
2005,YR2005,Vanuatu,VUT,0,58.672,,
2005,YR2005,"Venezuela, RB",VEN,52078.734,95650.028,,
2005,YR2005,Vietnam,VNM,9402.188,33886.747,,
2005,YR2005,Virgin Islands (U.S.),VIR,,,,
2005,YR2005,West Bank and Gaza,PSE,0,2742.916,,
2005,YR2005,"Yemen, Rep.",YEM,0,19270.085,,
2005,YR2005,Zambia,ZMB,0,1756.493,,
2005,YR2005,Zimbabwe,ZWE,0,1987.514,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
