year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt
2010,YR2010,Eswatini,SWZ,0,689.396
2010,YR2010,Ethiopia,ETH,0,5577.507
2010,YR2010,Faroe Islands,FRO,0,630.724
2010,YR2010,Fiji,FJI,3.667,1136.77
2010,YR2010,Finland,FIN,8789.799,25441.646
2010,YR2010,France,FRA,97428.523,201538.32
2010,YR2010,French Polynesia,PYF,0,803.073
2010,YR2010,Gabon,GAB,619.723,1954.511
2010,YR2010,"Gambia, The",GMB,3.667,425.372
2010,YR2010,Georgia,GEO,2324.878,2764.918
2010,YR2010,Germany,DEU,173845.136,262982.572
2010,YR2010,Ghana,GHA,810.407,8096.736
2010,YR2010,Gibraltar,GIB,0,465.709
2010,YR2010,Greece,GRC,7407.34,40813.71
2010,YR2010,Greenland,GRL,0,663.727
2010,YR2010,Grenada,GRD,0,260.357
2010,YR2010,Guam,GUM,,
2010,YR2010,Guatemala,GTM,0,8720.126
2010,YR2010,Guinea,GIN,0,2486.226
2010,YR2010,Guinea-Bissau,GNB,0,238.355
2010,YR2010,Guyana,GUY,0,1719.823
2010,YR2010,Haiti,HTI,0,1976.513
2010,YR2010,Honduras,HND,0,6747.28
2010,YR2010,"Hong Kong SAR, China",HKG,6483.256,9446.192
2010,YR2010,Hungary,HUN,22482.377,15834.106
2010,YR2010,Iceland,ISL,0,1551.141
2010,YR2010,India,IND,100318.119,414257.323
2010,YR2010,Indonesia,IDN,73791.041,195836.135
2010,YR2010,"Iran, Islamic Rep.",IRN,277448.887,227720.7
2010,YR2010,Iraq,IRQ,14829.348,79456.556
2010,YR2010,Ireland,IRL,10744.31,20054.823
2010,YR2010,Isle of Man,IMN,,
2010,YR2010,Israel,ISR,10087.917,28136.891
2010,YR2010,Italy,ITA,155873.169,178590.234
2010,YR2010,Jamaica,JAM,0,6688.608
2010,YR2010,Japan,JPN,196694.213,511370.484
2010,YR2010,Jordan,JOR,5240.143,13982.271
2010,YR2010,Kazakhstan,KAZ,66614.722,47381.307
2010,YR2010,Kenya,KEN,0,9695.548
2010,YR2010,Kiribati,KIR,0,58.672
2010,YR2010,"Korea, Dem. People's Rep.",PRK,0,2570.567
2010,YR2010,"Korea, Rep.",KOR,88488.377,174919.567
2010,YR2010,Kosovo,XKX,0,1598.812
2010,YR2010,Kuwait,KWT,28155.226,60054.459
2010,YR2010,Kyrgyz Republic,KGZ,564.718,2757.584
2010,YR2010,Lao PDR,LAO,0,1906.84
2010,YR2010,Latvia,LVA,3347.971,4000.697
2010,YR2010,Lebanon,LBN,484.044,16391.49
2010,YR2010,Lesotho,LSO,0,524.381
2010,YR2010,Liberia,LBR,0,733.4
2010,YR2010,Libya,LBY,13208.534,38558.505
2010,YR2010,Liechtenstein,LIE,58.672,0
2010,YR2010,Lithuania,LTU,5705.852,6545.595
2010,YR2010,Luxembourg,LUX,2739.249,7403.673
2010,YR2010,"Macao SAR, China",MAC,297.027,935.085
2010,YR2010,Madagascar,MDG,0,1771.161
2010,YR2010,Malawi,MWI,0,784.738
2010,YR2010,Malaysia,MYS,60857.532,74392.429
2010,YR2010,Maldives,MDV,0,935.085
2010,YR2010,Mali,MLI,0,1976.513
2010,YR2010,Malta,MLT,0,2559.566
2010,YR2010,Marshall Islands,MHL,0,135.679
2010,YR2010,Mauritania,MRT,0,1961.845
2010,YR2010,Mauritius,MUS,0,2343.213
2010,YR2010,Mexico,MEX,124223.292,259891.291
2010,YR2010,"Micronesia, Fed. Sts.",FSM,0,102.676
2010,YR2010,Moldova,MDA,1983.847,2174.531
2010,YR2010,Monaco,MCO,,
2010,YR2010,Mongolia,MNG,0,2471.558
2010,YR2010,Montenegro,MNE,0,799.406
2010,YR2010,Morocco,MAR,1305.452,34436.797
2010,YR2010,Mozambique,MOZ,154.014,2115.859
2010,YR2010,Myanmar,MMR,4143.71,7499.015
2010,YR2010,Namibia,NAM,0,2819.923
2010,YR2010,Nauru,NRU,0,44.004
2010,YR2010,Nepal,NPL,0,3274.631
2010,YR2010,Netherlands,NLD,91766.675,67139.103
2010,YR2010,New Caledonia,NCL,0,2291.875
2010,YR2010,New Zealand,NZL,8540.443,17102.888
2010,YR2010,Nicaragua,NIC,0,4235.385
2010,YR2010,Niger,NER,0,828.742
2010,YR2010,Nigeria,NGA,20212.504,59405.4
2010,YR2010,North Macedonia,MKD,220.02,2746.583
2010,YR2010,Northern Mariana Islands,MNP,,
2010,YR2010,Norway,NOR,14385.641,30311.422
2010,YR2010,Oman,OMN,34136.103,8547.777
2010,YR2010,Pakistan,PAK,74869.139,62195.987
2010,YR2010,Palau,PLW,0,209.019
2010,YR2010,Panama,PAN,0,8492.772
2010,YR2010,Papua New Guinea,PNG,289.693,4374.731
2010,YR2010,Paraguay,PRY,0,4774.434
2010,YR2010,Peru,PER,12588.811,23212.11
2010,YR2010,Philippines,PHL,7073.643,41631.451
2010,YR2010,Poland,POL,29328.666,65646.634
2010,YR2010,Portugal,PRT,10278.601,29266.327
2010,YR2010,Puerto Rico,PRI,,
2010,YR2010,Qatar,QAT,53439.191,15214.383
2010,YR2010,Romania,ROU,24708.246,23795.163
2010,YR2010,Russian Federation,RUS,878440.851,343550.229
2010,YR2010,Rwanda,RWA,0,539.049
2010,YR2010,Samoa,WSM,0,187.017
2010,YR2010,San Marino,SMR,,
2010,YR2010,Sao Tome and Principe,STP,0,99.009
2010,YR2010,Saudi Arabia,SAU,137189.804,359941.719
2010,YR2010,Senegal,SEN,47.671,4994.454
2010,YR2010,Serbia,SRB,4246.386,9592.872
2010,YR2010,Seychelles,SYC,0,443.707
2010,YR2010,Sierra Leone,SLE,0,575.719
2010,YR2010,Singapore,SGP,16523.502,41770.797
2010,YR2010,Sint Maarten (Dutch part),SXM,,
2010,YR2010,Slovak Republic,SVK,11466.709,8118.738
2010,YR2010,Slovenia,SVN,1976.513,7352.335
2010,YR2010,Solomon Islands,SLB,0,187.017
2010,YR2010,Somalia,SOM,0,612.389
2010,YR2010,South Africa,ZAF,8874.14,48268.721
2010,YR2010,South Sudan,SSD,,
2010,YR2010,Spain,ESP,71297.481,155506.469
2010,YR2010,Sri Lanka,LKA,0,12170.773
2010,YR2010,St. Kitts and Nevis,KNA,0,220.02
2010,YR2010,St. Lucia,LCA,0,403.37
2010,YR2010,St. Martin (French part),MAF,,
2010,YR2010,St. Vincent and the Grenadines,VCT,0,220.02
2010,YR2010,Sudan,SDN,0,14979.695
2010,YR2010,Suriname,SUR,7.334,2368.882
2010,YR2010,Sweden,SWE,3358.972,38250.477
2010,YR2010,Switzerland,CHE,6893.96,29438.676
2010,YR2010,Syrian Arab Republic,SYR,17872.958,39874.958
2010,YR2010,Tajikistan,TJK,366.7,1686.82
2010,YR2010,Tanzania,TZA,1474.134,4481.074
2010,YR2010,Thailand,THA,81048.034,107278.085
2010,YR2010,Timor-Leste,TLS,0,234.688
2010,YR2010,Togo,TGO,0,2046.186
2010,YR2010,Tonga,TON,0,117.344
2010,YR2010,Trinidad and Tobago,TTO,42042.155,5496.833
2010,YR2010,Tunisia,TUN,11646.392,11507.046
2010,YR2010,Turkiye,TUR,71906.203,70428.402
2010,YR2010,Turkmenistan,TKM,39717.277,17000.212
2010,YR2010,Turks and Caicos Islands,TCA,0,183.35
2010,YR2010,Tuvalu,TUV,0,7.334
2010,YR2010,Uganda,UGA,0,3248.962
2010,YR2010,Ukraine,UKR,126540.836,38184.471
2010,YR2010,United Arab Emirates,ARE,116962.632,28331.242
2010,YR2010,United Kingdom,GBR,194259.325,175319.27
2010,YR2010,United States,USA,1275074.572,2166283.917
2010,YR2010,Uruguay,URY,150.347,5819.529
2010,YR2010,Uzbekistan,UZB,85268.751,10315.271
2010,YR2010,Vanuatu,VUT,0,121.011
2010,YR2010,"Venezuela, RB",VEN,59233.051,113963.026
2010,YR2010,Vietnam,VNM,18063.642,49343.152
2010,YR2010,Virgin Islands (U.S.),VIR,,
2010,YR2010,West Bank and Gaza,PSE,0,2035.185
2010,YR2010,"Yemen, Rep.",YEM,1947.177,20102.494
2010,YR2010,Zambia,ZMB,0,1749.159
2010,YR2010,Zimbabwe,ZWE,0,1763.827
,,,,,
,,,,,
,,,,,
,,,,,
